date,position,songname,artist,last week,peak position,weeks on chart
2002-07-13,62,Pass The Courvoisier Part II,Busta Rhymes Featuring P. Diddy &amp; Pharrell,51,11,20
2002-06-29,21,I Need A Girl (Part Two),"P. Diddy &amp; Ginuwine Featuring Loon, Mario Winans &amp; Tammy Ruggieri",28,21,4
2002-06-29,97,Roc The Mic,Beanie Sigel &amp; Freeway,96,55,19
2002-06-29,98,Day + Night,Isyss Featuring Jadakiss,99,98,4
2002-06-22,43,Girlfriend,'N Sync Featuring Nelly,39,5,20
2002-05-11,51,Welcome To Atlanta,Jermaine Dupri &amp; Ludacris,53,35,20
2002-05-04,57,The Whole World,OutKast Featuring Killer Mike,42,19,20
2002-04-27,98,Closet Freak,Cee-Lo,--,98,3
2002-04-27,100,Take Away,"Missy ""Misdemeanor"" Elliott Featuring Ginuwine &amp; Tweet",88,45,20
2002-04-20,57,Bring On The Rain,Jo Dee Messina With Tim McGraw,58,36,20
2002-04-06,100,Round And Round,Jonell &amp; Method Man,100,62,17
2002-03-23,100,Knoc,"Knoc-Turn'Al With Dr. Dre &amp; Missy ""Misdemeanor"" Elliott",98,98,3
2002-02-16,98,Fatty Girl,"Ludacris, LL Cool J &amp; Keith Murray",98,87,14
2002-02-09,88,Son Of A Gun,"Janet Featuring Missy Elliott, P. Diddy &amp; Carly Simon",78,28,12
2002-01-19,100,Do U Wanna Roll (Dolittle Theme),"R.L., Snoop Dogg &amp; Lil' Kim",98,84,16
2001-12-22,95,Diddy,P. Diddy Featuring The Neptunes,86,66,9
2001-12-15,46,Where The Party At,Jagged Edge With Nelly,37,3,29
2001-10-13,85,Bad Boy For Life,"P. Diddy, Black Rob &amp; Mark Curry",76,33,12
2001-10-13,97,Girl Next Door,Musiq Soulchild Featuring Ayana,93,85,8
2001-09-29,100,What It Is,Violator Featuring Busta Rhymes,88,63,14
2001-09-01,88,Girl Next Door,Musiq Soulchild Featuring Ayana Of Aaries,93,88,2
